,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
984,Cereals,Green Maize,Ext Bag,115,KES3567.00,04/01/2015,0,19,2,115,1,4,2015,3567.0
985,Cereals,Finger Millet,Bag,90,KES7149.00,04/01/2015,0,16,0,90,1,4,2015,7149.0
986,Cereals,Sorghum,Bag,90,KES3816.00,04/01/2015,0,35,0,90,1,4,2015,3816.0
987,Cereals,Wheat,Bag,90,KES3628.00,04/01/2015,0,39,0,90,1,4,2015,3628.0
988,Legumes,Beans Canadian,Bag,90,KES7148.00,04/01/2015,2,1,0,90,1,4,2015,7148.0
989,Legumes,Beans Rosecoco,Bag,90,KES7124.00,04/01/2015,2,3,0,90,1,4,2015,7124.0
990,Legumes,Beans Mwitemania,Bag,90,KES6402.00,04/01/2015,2,2,0,90,1,4,2015,6402.0
991,Legumes,Mwezi Moja,Bag,90,KES5798.00,04/01/2015,2,27,0,90,1,4,2015,5798.0
992,Legumes,Dolichos (Njahi),Bag,90,KES9182.00,04/01/2015,2,14,0,90,1,4,2015,9182.0
993,Legumes,Green Gram,Bag,90,KES11454.00,04/01/2015,2,18,0,90,1,4,2015,11454.0
994,Legumes,Cowpeas,Bag,90,KES6983.00,04/01/2015,2,12,0,90,1,4,2015,6983.0
995,Legumes,Fresh Peas,Bag,51,KES3842.00,04/01/2015,2,17,0,51,1,4,2015,3842.0
996,Legumes,Groundnuts,Bag,110,,04/01/2015,2,20,0,110,1,4,2015,3188.371828521435
997,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3502.00,04/01/2015,3,33,0,110,1,4,2015,3502.0
998,Roots & Tubers,White Irish Potatoes,Bag,110,KES3511.00,04/01/2015,3,40,0,110,1,4,2015,3511.0
999,Roots & Tubers,Cassava Fresh,Bag,99,KES1941.00,04/01/2015,3,8,0,99,1,4,2015,1941.0
1000,Roots & Tubers,Sweet Potatoes,Bag,98,KES2819.00,04/01/2015,3,37,0,98,1,4,2015,2819.0
1001,Cereals,Dry Maize,Bag,90,KES2925.00,05/01/2015,0,15,0,90,1,5,2015,2925.0
1002,Cereals,Green Maize,Ext Bag,115,KES3872.00,05/01/2015,0,19,2,115,1,5,2015,3872.0
1003,Cereals,Finger Millet,Bag,90,KES7216.00,05/01/2015,0,16,0,90,1,5,2015,7216.0
1004,Cereals,Sorghum,Bag,90,KES3877.00,05/01/2015,0,35,0,90,1,5,2015,3877.0
1005,Cereals,Wheat,Bag,90,KES3653.00,05/01/2015,0,39,0,90,1,5,2015,3653.0
1006,Legumes,Beans Canadian,Bag,90,KES7453.00,05/01/2015,2,1,0,90,1,5,2015,7453.0
1007,Legumes,Beans Rosecoco,Bag,90,KES7522.00,05/01/2015,2,3,0,90,1,5,2015,7522.0
1008,Legumes,Beans Mwitemania,Bag,90,KES6903.00,05/01/2015,2,2,0,90,1,5,2015,6903.0
1009,Legumes,Mwezi Moja,Bag,90,KES6426.00,05/01/2015,2,27,0,90,1,5,2015,6426.0
1010,Legumes,Dolichos (Njahi),Bag,90,KES10486.00,05/01/2015,2,14,0,90,1,5,2015,10486.0
1011,Legumes,Green Gram,Bag,90,KES11905.00,05/01/2015,2,18,0,90,1,5,2015,11905.0
1012,Legumes,Cowpeas,Bag,90,KES7509.00,05/01/2015,2,12,0,90,1,5,2015,7509.0
1013,Legumes,Fresh Peas,Bag,51,KES3924.00,05/01/2015,2,17,0,51,1,5,2015,3924.0
1014,Legumes,Groundnuts,Bag,110,KES12802.00,05/01/2015,2,20,0,110,1,5,2015,12802.0
1015,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3812.00,05/01/2015,3,33,0,110,1,5,2015,3812.0
1016,Roots & Tubers,White Irish Potatoes,Bag,110,KES3935.00,05/01/2015,3,40,0,110,1,5,2015,3935.0
1017,Roots & Tubers,Cassava Fresh,Bag,99,KES1883.00,05/01/2015,3,8,0,99,1,5,2015,1883.0
1018,Roots & Tubers,Sweet Potatoes,Bag,98,KES2928.00,05/01/2015,3,37,0,98,1,5,2015,2928.0
1019,Cereals,Dry Maize,Bag,90,KES2883.00,06/01/2015,0,15,0,90,1,6,2015,2883.0
1020,Cereals,Green Maize,Ext Bag,115,KES3466.00,06/01/2015,0,19,2,115,1,6,2015,3466.0
1021,Cereals,Finger Millet,Bag,90,KES7155.00,06/01/2015,0,16,0,90,1,6,2015,7155.0
1022,Cereals,Sorghum,Bag,90,KES3845.00,06/01/2015,0,35,0,90,1,6,2015,3845.0
1023,Cereals,Wheat,Bag,90,KES3747.00,06/01/2015,0,39,0,90,1,6,2015,3747.0
1024,Legumes,Beans Canadian,Bag,90,KES7471.00,06/01/2015,2,1,0,90,1,6,2015,7471.0
1025,Legumes,Beans Rosecoco,Bag,90,KES7186.00,06/01/2015,2,3,0,90,1,6,2015,7186.0
1026,Legumes,Beans Mwitemania,Bag,90,KES6535.00,06/01/2015,2,2,0,90,1,6,2015,6535.0
1027,Legumes,Mwezi Moja,Bag,90,KES7279.00,06/01/2015,2,27,0,90,1,6,2015,7279.0
1028,Legumes,Dolichos (Njahi),Bag,90,KES9988.00,06/01/2015,2,14,0,90,1,6,2015,9988.0
1029,Legumes,Green Gram,Bag,90,KES10722.00,06/01/2015,2,18,0,90,1,6,2015,10722.0
1030,Legumes,Cowpeas,Bag,90,KES7315.00,06/01/2015,2,12,0,90,1,6,2015,7315.0
1031,Legumes,Fresh Peas,Bag,51,KES3505.00,06/01/2015,2,17,0,51,1,6,2015,3505.0
1032,Legumes,Groundnuts,Bag,110,KES12797.00,06/01/2015,2,20,0,110,1,6,2015,12797.0
1033,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2776.00,06/01/2015,3,33,0,110,1,6,2015,2776.0
1034,Roots & Tubers,White Irish Potatoes,Bag,110,KES2978.00,06/01/2015,3,40,0,110,1,6,2015,2978.0
1035,Roots & Tubers,Cassava Fresh,Bag,99,KES2124.00,06/01/2015,3,8,0,99,1,6,2015,2124.0
1036,Roots & Tubers,Sweet Potatoes,Bag,98,KES2705.00,06/01/2015,3,37,0,98,1,6,2015,2705.0
1037,Cereals,Dry Maize,Bag,90,KES2969.00,07/01/2015,0,15,0,90,1,7,2015,2969.0
1038,Cereals,Green Maize,Ext Bag,115,KES2860.00,07/01/2015,0,19,2,115,1,7,2015,2860.0
1039,Cereals,Finger Millet,Bag,90,KES6883.00,07/01/2015,0,16,0,90,1,7,2015,6883.0
1040,Cereals,Sorghum,Bag,90,KES3856.00,07/01/2015,0,35,0,90,1,7,2015,3856.0
1041,Cereals,Wheat,Bag,90,KES3915.00,07/01/2015,0,39,0,90,1,7,2015,3915.0
1042,Legumes,Beans Canadian,Bag,90,KES6595.00,07/01/2015,2,1,0,90,1,7,2015,6595.0
